순번,대학(원),학과(부),학년,이수구분,학수번호,교과목명,교과목명(영문),담당교수,Teaching method,수업방법,시간표,학점,강의실
1415,도시과학대학,건설환경공학부,1,기초과학,XAA1273002,화학실험,CHEMISTRY EXPERIMENT,임지영,offline class,오프라인, [SY1406:금(5)(6)],1,제27호관 제2공동실험실습관-406 환경공학기초실습실[SY1406]
1416,도시과학대학,건설환경공학부,1,기초과학,XAA1273003,화학실험,CHEMISTRY EXPERIMENT,임지영,offline class,오프라인, [SY1406:금(7)(8)],1,제27호관 제2공동실험실습관-406 환경공학기초실습실[SY1406]
1417,도시과학대학,건설환경공학부,1,전공기초,0007801052,자기설계세미나II,Self - Design Seminar II,허종완,online class,온라인(동영상+화상), [SI220:화(9)],1,제8호관 공과대학·도시과학대학-220 교강사 휴계실[SI220]
1418,도시과학대학,건설환경공학부,1,전공기초,0007801053,자기설계세미나II,Self - Design Seminar II,김동욱,online class,온라인(동영상+화상), [SI222:화(9)],1,제8호관 공과대학·도시과학대학-222 세미나실(소)-1[SI222]
1419,도시과학대학,건설환경공학부,1,전공기초,0007801054,자기설계세미나II,Self - Design Seminar II,장동우,online class,온라인(동영상+화상), [SI123:화(9)],1,제8호관 공과대학·도시과학대학-123 세미나실[SI123]
1420,도시과학대학,건설환경공학부,1,전공기초,0007801055,자기설계세미나II,Self - Design Seminar II,정종태,on and offline class,온라인(동영상+화상)+오프라인, [SY2301:월(5)],1,제28호관 도시과학대학-301 연구용실험실[SY2301]
1421,도시과학대학,건설환경공학부,1,전공기초,0007801056,자기설계세미나II,Self - Design Seminar II,이도균,on and offline class,온라인(동영상+화상)+오프라인, [SY2301:수(6)],1,제28호관 도시과학대학-301 연구용실험실[SY2301]
1422,도시과학대학,건설환경공학부,1,전공필수,0001283001,컴퓨터프로그래밍,Computer Programing,,on and offline class,온라인(동영상+화상)+오프라인, [SC104:목(1)(2)(3)],3,제4호관 BM컨텐츠관-104 전산실습실-1[SC104]
1423,도시과학대학,건설환경공학부,1,전공필수,0001283002,컴퓨터프로그래밍,Computer Programing,,on and offline class,온라인(동영상+화상)+오프라인, [SC104:목(5)(6)(7)],3,제4호관 BM컨텐츠관-104 전산실습실-1[SC104]
1424,도시과학대학,건설환경공학부,1,전공필수,0001283003,컴퓨터프로그래밍,Computer Programing,,on and offline class,온라인(동영상+화상)+오프라인, [SC104:금(1)(2)(3)],3,제4호관 BM컨텐츠관-104 전산실습실-1[SC104]
1425,도시과학대학,건설환경공학부,2,전공기초,0006061001,환경통계및자료해석,Environmental Data and Analysis,이희관,on and offline class,온라인(동영상+화상)+오프라인, [SC105:화(1)(2)(4)],3,제4호관 BM컨텐츠관-105 전산실습실-2[SC105]
1426,도시과학대학,건설환경공학부,2,전공기초,EPD6127001,고급미분방정식,ADVANCED DIFFERENTIAL EQUATION,강정구,online class,온라인(동영상+화상), [SI337:금(7-8A)(8B-9)],3,제8호관 공과대학·도시과학대학-337 강의실(중)-2[SI337]
1427,도시과학대학,건설환경공학부,2,전공필수,0006064001,도시지공학실무(2),Urban Geospacematics Practice(2),최병길,on and offline class,온라인(동영상+화상)+오프라인, [SI127:목(6)(7)],1,제8호관 공과대학·도시과학대학-127 측량및GIS실습실[SI127]
1428,도시과학대학,건설환경공학부,2,전공필수,0006064002,도시지공학실무(2),Urban Geospacematics Practice(2),최병길,on and offline class,온라인(동영상+화상)+오프라인, [SI127:목(8)(9)],1,제8호관 공과대학·도시과학대학-127 측량및GIS실습실[SI127]
1429,도시과학대학,건설환경공학부,2,전공필수,0006861001,수질오염분석실험,Water Quality Analysis Laboratory,한상윤,offline class,오프라인, [SY1406:수(5)(6)(7)],2,제27호관 제2공동실험실습관-406 환경공학기초실습실[SY1406]
1430,도시과학대학,건설환경공학부,2,전공필수,0006942001,폐기물오염,Soild Waste Pollution,박수영,on and offline class,온라인(동영상+화상)+오프라인, [SY2307:금(1)(2)(3)],3,제28호관 도시과학대학-307 강의실[SY2307]
1431,도시과학대학,건설환경공학부,2,전공필수,EPD6026001,수리실험,HYDRAULICS LABORATORY,김주원,on and offline class,온라인(동영상+화상)+오프라인, [SJ126:수(6)(7)],1,제9호관 공동실험실습관-126 수리실험실습실[SJ126]
1432,도시과학대학,건설환경공학부,2,전공필수,EPD6026002,수리실험,HYDRAULICS LABORATORY,,on and offline class,온라인(동영상+화상)+오프라인, [SJ126:수(8)(9)],1,제9호관 공동실험실습관-126 수리실험실습실[SJ126]
1433,도시과학대학,건설환경공학부,2,전공필수,EPD6030001,수리학(2),HYDRAULICS(2),장동우,online class,온라인(동영상+화상)," [SI337:월(1),목(2)(3)]",2,제8호관 공과대학·도시과학대학-337 강의실(중)-2[SI337]
1434,도시과학대학,건설환경공학부,2,전공필수,EPD6073001,토질역학(1),SOIL MECHANICS(1),강정구,online class,온라인(동영상+화상), [SI434:금(1)(2)(3)],2,제8호관 공과대학·도시과학대학-434 강의실(중)-6[SI434]
1435,도시과학대학,건설환경공학부,2,전공선택,0006062001,환경에너지개론,Environmental Energy Introduction,이도균,on and offline class,온라인(동영상+화상)+오프라인," [SY2307:월(5)(6),수(3)]",3,제28호관 도시과학대학-307 강의실[SY2307]
1436,도시과학대학,건설환경공학부,2,전공선택,0006083001,대기오염제어,Air Pollution Control,박찬진,on and offline class,온라인(동영상+화상)+오프라인," [SY2307:월(2B-3),목(2B-3)]",3,제28호관 도시과학대학-307 강의실[SY2307]
1437,도시과학대학,건설환경공학부,2,전공선택,EPD6013001,교통공학,TRAFFIC ENGINEERING,김응철,offline class,오프라인, [SI337:화(2)(3)] [SI434:월(5)],3,"제8호관 공과대학·도시과학대학-337 강의실(중)-2[SI337], 제8호관 공과대학·도시과학대학-434 강의실(중)-6[SI434]"
